,Ryu,Ken,E.Honda,Chun-Li,Blanka,Zangief,Guile,Dhalsim,T.Hawk,Cammy,Fei-Long,DeeJay,Boxer,Claw,Sagat,Dictator
Ryu,-,6.5,8,6,7.5,4.5,6.5,3,6,7.5,6.5,7,4,4,6.5,6.5
Ken,3.5,-,7,3.5,5,4,3.5,2.5,5.5,5,4.5,5,3.5,4,5,6
E.Honda,2,3,-,2.5,7.5,8.5,2,3.5,6.5,8,7,1.5,3.5,4,3.5,6.5
Chun-Li,4,6.5,7.5,-,7,7.5,6,5,5.5,6,4,6.5,5.5,4,6.5,7
Blanka,2.5,5,2.5,3,-,6,4,2,7,4,3.5,2.5,2.5,3.5,2,6.5
Zangief,5.5,6,1.5,2.5,4,-,2,2.5,5.5,3.5,3,5.5,4.5,3.5,4,5.5
Guile,3.5,6.5,8,4,6,8,-,1.5,6.5,8,7.5,5.5,4,3,6.5,5.5
Dhalsim,7,7.5,6.5,5,8,7.5,8.5,-,6.5,6.5,6.5,8,5.5,3.5,9,6.5
T.Hawk,4,4.5,3.5,4.5,3,4.5,3.5,3.5,-,1.5,3,3,4.5,3,3.5,3
Cammy,2.5,5,2,4,6,6.5,2,3.5,8.5,-,3,2,2.5,4,3,2
Fei-Long,3.5,5.5,3,6,6.5,7,2.5,3.5,7,7,-,2.5,3,3.5,3.5,3.5
DeeJay,3,5,8.5,3.5,7.5,4.5,4.5,2,7,8,7.5,-,3,4,5.5,6.5
Boxer,6,6.5,6.5,4.5,7.5,5.5,6,4.5,5.5,7.5,7,7,-,5.5,8,6.5
Claw,6,6,6,6,6.5,6.5,7,6.5,7,6,6.5,6,4.5,-,7.5,5
Sagat,3.5,5,6.5,3.5,8,6,3.5,1,6.5,7,6.5,4.5,2,2.5,-,3.5
Dictator,3.5,4,3.5,3,3.5,4.5,4.5,3.5,7,8,6.5,3.5,3.5,5,6.5,-
